"ncca_site_id","distToNearestBlock","low_minor_buf","low_inc_buf","min_inc","max_inc"
"NLA_IA-10004",0,0.089641434262948,0.183516483516483,0.183516483516483,0.183516483516483
"NLA_WA-10004",0,0.02865329512894,0.285100286532951,0.285100286532951,0.285100286532951
"NLA_UT-10001",0,0.162422553574765,0.269412297726351,0.258403361344537,0.289429530201342
"NLA_WY-10001",0,0.086330935251799,0.219060225016545,0.219060225016545,0.219060225016545
"NLA_OK-10002",0,0.186834462729912,0.291384317521781,0.291384317521781,0.291384317521781
"NLA_IL-10002",0,0.048991354466859,0.236381322957198,0.236381322957198,0.236381322957198
"NLA_WI-10006",0,0.0452341181470579,0.219446958332732,0.129310344827586,0.219833564493758
"NLA_MO-10006",0,0.040686586141131,0.3828025477707,0.3828025477707,0.3828025477707
"NLA_MN-10015",0,0.014478764478764,0.3503861003861,0.3503861003861,0.3503861003861
"NLA_GA-10001",0,0.414560770156438,0.444170265268352,0.444170265268352,0.444170265268352
"NLA_LA-10001",0,0.395644283121597,0.468239564428312,0.468239564428312,0.468239564428312
"NLA_KY-10001",0,0.0205357372887115,0.363992508328199,0.354166666666666,0.365474339035769
"NLA_MT-10002",0,0.195627157652474,0.240506329113924,0.240506329113924,0.240506329113924
"NLA_SD-10001",0,0.068999028182702,0.311871227364185,0.311871227364185,0.311871227364185
"NLA_KS-10010",0,0.04296212549463,0.198417184850197,0.198417184850197,0.198417184850197
"NLA_MT-10003",0,0.110834371108343,0.190535491905354,0.190535491905354,0.190535491905354
"NLA_CO-10002",0,0.213002114164904,0.178879310344827,0.178879310344827,0.178879310344827
"NLA_NE-10012",0,0,0.235294117647058,0.235294117647058,0.235294117647058
"NLA_WV-10004",0,0.00946843993254445,0.270587986970726,0.243689320388349,0.329504666188083
"NLA_ND-10004",0,0.059031877213695,0.537190082644628,0.537190082644628,0.537190082644628
"NLA_RI-10003",0,0.00245486262086654,0.0554402341913729,0.026348808030113,0.107407407407407
"NLA_MI-10006",0,0.133162829049876,0.183043742223515,0.181282240235814,0.204045734388742
"NLA_MN-10016",0,0.012635379061372,0.162454873646209,0.162454873646209,0.162454873646209
"NLA_UT-10002",0,0.112083105522143,0.157463094587206,0.157463094587206,0.157463094587206
"NLA_IL-10004",0,0.064540059347181,0.144767899291896,0.144767899291896,0.144767899291896
"NLA_TX-10014",0,0.232298136645962,0.413836477987421,0.413836477987421,0.413836477987421
"NLA_MD-10003",0,0.00803344636303037,0.0861197427533364,0.079840319361277,0.24546553808948
"NLA_GA-10002",0,0.596795727636849,0.740418118466899,0.740418118466899,0.740418118466899
"NLA_MO-10009",0,0.022617124394184,0.258481421647819,0.258481421647819,0.258481421647819
"NLA_FL-10007",0,0.464835164835164,0.392857142857142,0.392857142857142,0.392857142857142
"NLA_MA-10003",0,0.109149492842468,0.12025122008347,0.101360863444392,0.17943409247757
"NLA_MN-10017",0,0.0344068660164095,0.232954693852358,0.232824427480916,0.269544924154025
"NLA_AL-10001",0,0.0682485222600595,0.328329338699871,0.123439667128987,0.331372549019607
"NLA_NE-10013",0,0,0.235294117647058,0.235294117647058,0.235294117647058
"NLA_VA-10012",NA,NA,NA,NA,NA
"NLA_RI-10004",0,0.05879882402352,0.293840889649272,0.293840889649272,0.293840889649272
"NLA_CA-10001",0,0.27563025210084,0.574171029668411,0.574171029668411,0.574171029668411
"NLA_MI-10007",0,0.045454545454545,0.405821917808219,0.405821917808219,0.405821917808219
"NLA_SD-10002",0,0.00370698705662988,0.205049782246963,0.165912518853695,0.27027027027027
"NLA_PA-10003",0,0.0140513699184141,0.202729422914116,0.169953051643192,0.256598240469208
"NLA_MT-10006",0,0.0507314241234573,0.302943676118365,0.190224570673712,0.317796610169491
"NLA_CO-10005",0,0.066990291262136,0.351456310679611,0.351456310679611,0.351456310679611
"NLA_TX-10015",0,0.964476021314387,0.344582593250444,0.344582593250444,0.344582593250444
"NLA_ID-10006",0,0.011286681715576,0.444695259593679,0.444695259593679,0.444695259593679
"NLA_LA-10003",0,0.354132231404958,0.571938168846611,0.571938168846611,0.571938168846611
"NLA_IA-10005",0,0.267646512289861,0.439004267254987,0.398214285714285,0.444801714898177
"NLA_OH-10005",0,0.011036174126303,0.078479460453709,0.078479460453709,0.078479460453709
"NLA_OH-10006",0,0.031041360696473,0.247870223770701,0.128816793893129,0.329428989751098
"NLA_MN-10019",0,0.03125,0.2119341563786,0.2119341563786,0.2119341563786
"NLA_AL-10002",0,0.129781420765027,0.362258953168044,0.362258953168044,0.362258953168044
"NLA_LA-10004",0,0.341316923706005,0.46759413977851,0.305976806422836,0.508982035928143
"NLA_NC-10004",0,0.482393839158453,0.59547032265199,0.197632058287795,0.612903225806451
"NLA_OH-10007",0,0.007278020378457,0.228070175438596,0.228070175438596,0.228070175438596
"NLA_LA-10005",0,0.222870478413068,0.369894982497082,0.369894982497082,0.369894982497082
"NLA_IN-10007",0,0,0.236280487804878,0.236280487804878,0.236280487804878
"NLA_OR-10008",0,0.123616479529363,0.410355072991652,0.338260375213189,0.455488803932277
"NLA_MT-10009",0,0.052238805970149,0.396756756756756,0.396756756756756,0.396756756756756
"NLA_ND-10008",0,0.047272727272727,0.179393939393939,0.179393939393939,0.179393939393939
"NLA_CO-10006",0,0.199632014719411,0.316226183159188,0.316226183159188,0.316226183159188
"NLA_MT-10010",0,0.0234375,0.337890625,0.337890625,0.337890625
"NLA_UT-10005",0,0.442049808429118,0.358826358826358,0.358826358826358,0.358826358826358
"NLA_FL-10009",0,0.394473042535898,0.406945198046663,0.406945198046663,0.406945198046663
"NLA_SD-10004",0,0.463620981387478,0.497661365762394,0.497661365762394,0.497661365762394
"NLA_WY-10004",0,0.112518628912071,0.429323308270676,0.429323308270676,0.429323308270676
"NLA_NJ-10003",0,0.123342175066313,0.219282511210762,0.219282511210762,0.219282511210762
"NLA_ND-10010",0,0.060657118786858,0.297984224364592,0.297984224364592,0.297984224364592
"NLA_OR-10009",0,0.136602451838879,0.437828371278458,0.437828371278458,0.437828371278458
"NLA_PA-10006",0,0.022091310751105,0.377777777777777,0.377777777777777,0.377777777777777
"NLA_ME-10025",0,0.0166781218252316,0.263229059025113,0.192539109506618,0.265652951699463
"NLA_MS-10001",0,0.0994869422107167,0.528520170902126,0.508453350031308,0.528614457831325
"NLA_MT-10012",0,0.0834340978237623,0.396037607347861,0.057731958762887,0.471698113207547
"NLA_KS-10016",0,0.064655172413793,0.218390804597701,0.218390804597701,0.218390804597701
"NLA_NE-10017",0,0.134061569016881,0.375893769152196,0.375893769152196,0.375893769152196
"NLA_WY-10005",0,0.530917719867786,0.480285328732558,0.219060225016545,0.48564867967853
"NLA_OK-10007",0,0.296692590314049,0.613620796753203,0.571868583162217,0.621081081081081
"NLA_AL-10004",0,0.268423294758854,0.631451245007234,0.390243902439024,0.639937106918239
"NLA_IL-10008",0,0.00374531835206,0.47378277153558,0.47378277153558,0.47378277153558
"NLA_SC-10002",0,0.73015873015873,0.621553884711779,0.621553884711779,0.621553884711779
"NLA_FL-10010",0,0.174051821254224,0.292902741269245,0.292902741269245,0.292902741269245
"NLA_NV-10008",0,0.259493670886075,0.134146341463414,0.134146341463414,0.134146341463414
"NLA_WI-10012",0,0.0554124669857628,0.28436311404777,0.215976331360946,0.359703337453646
"NLA_IA-10007",0,0.021812080536913,0.160234899328859,0.160234899328859,0.160234899328859
"NLA_PA-10007",0,0.179748822605965,0.116169544740973,0.116169544740973,0.116169544740973
"NLA_IA-10008",0,0.113028472821397,0.182210708117443,0.182210708117443,0.182210708117443
"NLA_WY-10006",0,0.062366899908731,0.237298448433221,0.237298448433221,0.237298448433221
"NLA_OH-10010",0,0,0.590147021401028,0.283977110157367,0.729078014184397
"NLA_FL-10011",0,0.211286384527001,0.301018926337291,0.236559139784946,0.474803149606299
"NLA_KY-10002",0,0.166217955737748,0.420899116146224,0.187931034482758,0.444921316165951
"NLA_MO-10011",0,0.0357937100009482,0.474299569804493,0.433438985736925,0.60441767068273
"NLA_LA-10006",NA,NA,NA,NA,NA
"NLA_MS-10002",0,0.632887189292543,0.710765239948119,0.710765239948119,0.710765239948119
"NLA_WI-10014",0,0.28757225433526,0.241329479768786,0.241329479768786,0.241329479768786
"NLA_OR-10012",0,0.155272305909617,0.300813008130081,0.300813008130081,0.300813008130081
"NLA_SD-10009",0,0.188888888888888,0.328888888888888,0.328888888888888,0.328888888888888
