"UNIQUE_ID","EPA_REG","LAT_DD83","LON_DD83","PTL_COND","NTL_COND","CHLA_COND","TROPHIC_STATE","ATZ_EPA_COND_3.4","ATZ_DETECT","CYLSPER_EPA_COND","CYLSPER_DETECT","MICX_EPA_COND","MICX_DETECT","ECOLI_EPA_COND","ECOLI_DETECT","BENT_MMI_COND_2017","ZOOP_MMI_COND_2017","DRAWDOWN_COND_2CAT_2017","LITRIPCVR_COND","LITCVR_COND","RVEG_COND","RDIS_COND","NLA_SCI_STATUS","distToNearestBlock","low_minor_buf","low_inc_buf","min_inc","max_inc"
"NLA_NV-10109","Region_09",39.54188,-119.7789,"Poor","Poor","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.708431543522261,0.532951598498783,0.330202312138728,0.774086378737541
"NLA_NV-10178","Region_09",39.4578,-119.7898,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Poor","Not Large","Good","Good","Good","Poor","Least Disturbed",0,0.284274519145173,0.173507095971081,0.137211036539895,0.472962066182405
"NLA_ND-10100","Region_08",47.17341,-99.77111,"Fair","Poor","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Poor","Fair","Poor","Poor","Least Disturbed",0,0.032133676092545,0.212082262210796,0.212082262210796,0.212082262210796
"NLA_NV-10066","Region_09",38.69493,-118.7144,"Poor","Poor","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Poor","Good","Large","Poor","Fair","Poor","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_OH-10072","Region_05",41.49185,-81.17701,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Good","Poor","Good","Fair","Moderately Disturbed",0,0.0409055994562814,0.291594288781719,0.271844660194174,0.29159802306425
"NLA_TN-10029","Region_04",35.67353,-87.03213,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Fair","Fair","Fair","Moderately Disturbed",0,0.267590027700831,0.551246537396121,0.551246537396121,0.551246537396121
"NLA_AZ-10008","Region_09",34.60431,-112.4386,"Poor","Poor","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.108007561668223,0.355132871380537,0.288798370672097,0.388736263736263
"NLA_MI-10091","Region_05",43.37318,-86.14407,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.0729880488299991,0.246863795495182,0.157062146892655,0.438336520076481
"NLA_ND-10085","Region_08",47.08001,-99.73059,"Good","Poor","Good","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Good","Poor","Fair","Least Disturbed",0,0.032133676092545,0.212082262210796,0.212082262210796,0.212082262210796
"NLA_CA-10183","Region_09",38.08325,-122.5184,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Good","Fair","Good","Poor","Moderately Disturbed",0,0.130871415199705,0.126724396655352,0.104607250755287,0.137952176578786
"NLA_KY-10003","Region_04",36.68168,-83.70503,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Good","Fair","Good","Fair","Moderately Disturbed",0,0.0781179216341669,0.518596037582428,0.394366197183098,0.590180360721442
"NLA_ND-10091","Region_08",47.27222,-100.3903,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Poor","Poor","Not Large","Poor","Poor","Poor","Fair","Least Disturbed",0,0.066581306017926,0.239743589743589,0.239743589743589,0.239743589743589
"NLA_TX-10054","Region_06",32.94443,-96.45375,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Above Benchmark","Detected","Not Assessed","Good","Not Large","Good","Good","Fair","Poor","Moderately Disturbed",0,0.206757436258897,0.0512801105950189,0.035223880597015,0.2093837535014
"NLA_KS-10045","Region_07",39.34876,-95.04207,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Fair","Good","Fair","Moderately Disturbed",0,0.063674321503132,0.160229645093945,0.160229645093945,0.160229645093945
"NLA_NV-10007","Region_09",38.39816,-115.1171,"Good","Fair","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Good","Poor","Good","Good","Moderately Disturbed",0,0.36925601750547,0.159737417943107,0.159737417943107,0.159737417943107
"NLA_NV-10112","Region_09",39.24104,-117.1657,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.021174863387978,0.288251366120218,0.288251366120218,0.288251366120218
"NLA_KY-10045","Region_04",37.48693,-84.67911,"Good","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Fair","Fair","Good","Good","Moderately Disturbed",0,0.0685206675525251,0.447886740538136,0.416344561016013,0.449079754601227
"NLA_TX-10181","Region_06",32.0567,-96.7321,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Fair","Poor","Least Disturbed",0,0.186410102224894,0.294046903187011,0.294046903187011,0.294046903187011
"NLA_TN-10040","Region_04",36.30417,-86.91358,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0,0.268551236749116,0.268551236749116,0.268551236749116
"NLA_MO-10087","Region_07",40.3133,-94.03102,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.0194592132380578,0.451081307354724,0.305810397553516,0.479657387580299
"NLA_IA-10042","Region_07",40.596744,-93.772298,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.035071090047393,0.426666666666666,0.426666666666666,0.426666666666666
"NLA_ND-10155","Region_08",46.3599,-99.48298,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Poor","Fair","Poor","Poor","Least Disturbed",0,0.036129032258064,0.302578018995929,0.302578018995929,0.302578018995929
"NLA_ND-10002","Region_08",46.36831,-99.51996,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Poor","Good","Poor","Poor","Moderately Disturbed",0,0.036129032258064,0.302578018995929,0.302578018995929,0.302578018995929
"NLA_GA-10018","Region_04",33.29943,-81.89276,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Not Assessed","Not Large","Good","Good","Good","Good","Moderately Disturbed",0,0.239488117001828,0.644728823887873,0.644728823887873,0.644728823887873
"NLA_KS-10021","Region_07",39.3321,-97.37486,"Poor","Poor","Fair","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Poor","Fair","Fair","Poor","Moderately Disturbed",0,0.0388221736436799,0.40603550941664,0.263727121464226,0.480974124809741
"NLA_SD-10107","Region_08",44.47741,-99.31405,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Above Benchmark","Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Poor","Good","Poor","Poor","Moderately Disturbed",0,0.188888888888888,0.328888888888888,0.328888888888888,0.328888888888888
"NLA_KS-10085","Region_07",39.83551,-96.55958,"Poor","Poor","Fair","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Poor","Poor","Poor","Poor","Moderately Disturbed",0,0.0770728666790417,0.340738355489501,0.221192052980132,0.352272727272727
"NLA_NV-10064","Region_09",37.90785,-114.2679,"Good","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Poor","Poor","Poor","Fair","Least Disturbed",0,0.177186610095771,0.278957808261231,0.252535496957403,0.303538175046554
"NLA_NV-10094","Region_09",36.50496,-114.4095,"Fair","Good","Good","Oligotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Fair","Fair","Least Disturbed",0,0.0211690168151488,0.117267250111378,0.105820105820105,0.146527117031398
"NLA_TX-10096","Region_06",33.7351029,-95.92578522,"Fair","Fair","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0,0.400996264009962,0.400996264009962,0.400996264009962
"NLA_TN-10017","Region_04",35.37137,-86.3815,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Fair","Not Large","Good","Good","Poor","Poor","Moderately Disturbed",0,0.031504617055948,0.311243889190657,0.311243889190657,0.311243889190657
"NLA_CA-10037","Region_09",38.07833,-122.7434,"Fair","Good","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Good","Fair","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_WV-10026","Region_03",39.13362,-78.59737,"Good","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.00877513336585169,0.364009929302271,0.358565737051792,0.366863905325443
"NLA_ND-10029","Region_08",46.89273,-99.41651,"Poor","Poor","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Poor","Not Large","Poor","Good","Poor","Fair","Least Disturbed",0,0.021390374331551,0.327338129496402,0.327338129496402,0.327338129496402
"NLA_MO-10089","Region_07",40.17059749,-92.65559555,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Good","Fair","Good","Good","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_TX-10155","Region_06",32.46571,-96.20017,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.188575477435181,0.258210745698169,0.258173618940248,0.382239382239382
"NLA_UT-10340","Region_08",41.17782,-112.1546,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Fair","Good","Poor","Fair","Least Disturbed",0,0.0723488572168442,0.228562183205103,0.204045734388742,0.232365145228215
"NLA_AR-10020","Region_06",34.53937,-92.27375,"Good","Good","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.0803618946248,0.276294277929155,0.276294277929155,0.276294277929155
"NLA_NV-10260","Region_09",36.0658,-115.1136,"Good","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Not Large","Good","Fair","Good","Poor","Least Disturbed",0,0.477503590890464,0.273293036076634,0.162721893491124,0.505578093306288
"NLA_MO-10088","Region_07",39.34170139,-91.15320109,"Good","Good","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Poor","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.0229579245247916,0.281265149381798,0.252252252252252,0.282051282051282
"NLA_KS-10091","Region_07",39.00367,-95.62764,"Good","Good","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Fair","Not Large","Fair","Fair","Fair","Poor","Moderately Disturbed",0,0.196933213327624,0.24273473204065,0.185258964143426,0.293111013602457
"NLA_CA-10201","Region_09",37.54158,-120.3545,"Good","Fair","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.403260869565217,0.36195652173913,0.36195652173913,0.36195652173913
"NLA_OK-10060","Region_06",34.9645,-96.70763,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_WV-10008","Region_03",38.82171,-80.5897,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Good","Good","Good","Fair","Least Disturbed",NA,NA,NA,NA,NA
"NLA_WV-10023","Region_03",38.8378,-82.12585,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Poor","Poor","Poor","Poor","Moderately Disturbed",0,0.0227433757759826,0.697918147896365,0.512269938650306,0.892531876138433
"NLA_KS-10056","Region_07",38.46564,-95.73628,"Poor","Fair","Fair","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.095643939393939,0.275568181818181,0.275568181818181,0.275568181818181
"NLA_IL-10057","Region_05",40.20011,-88.37851,"Fair","Good","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Fair","Good","Fair","Poor","Moderately Disturbed",0,0.0309387205081423,0.109127977347645,0.081895371131197,0.112065745237205
"NLA_ND-10144","Region_08",47.26394,-99.80461,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Poor","Good","Poor","Fair","Least Disturbed",0,0.032133676092545,0.212082262210796,0.212082262210796,0.212082262210796
"NLA_TX-10108","Region_06",32.66237,-97.61238,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Least Disturbed",0,0.147790055248618,0.097605893186004,0.097605893186004,0.097605893186004
"NLA_OK-10093","Region_06",36.5147867,-96.1911658,"Good","Good","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Poor","Poor","Large","Fair","Good","Fair","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_ND-10145","Region_08",47.13186,-99.23174,"Poor","Poor","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Fair","Fair","Not Large","Fair","Good","Fair","Poor","Least Disturbed",0,0.013460015835313,0.154335719968178,0.154335719968178,0.154335719968178
"NLA_CA-10025","Region_09",38.50847,-121.5354,"Poor","Fair","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.630949480229009,0.232407490758603,0.039713182570325,0.396643109540636
"NLA_KS-10035","Region_07",38.12596,-96.30956,"Good","Good","Good","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Poor","Good","Fair","Moderately Disturbed",0,0.064655172413793,0.218390804597701,0.218390804597701,0.218390804597701
"NLA_KY-10056","Region_04",37.40457,-87.52033,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Fair","Good","Poor","Poor","Moderately Disturbed",0,0.03203125,0.327734375,0.327734375,0.327734375
"NLA_AR-10014","Region_06",34.41755,-93.07012,"Good","Fair","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Good","Poor","Not Large","Good","Good","Good","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_FL-10074","Region_04",26.94453,-80.83291,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Not Assessed","Good","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Least Disturbed",NA,NA,NA,NA,NA
"NLA_KS-10077","Region_07",38.2035,-98.20245,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Good","Not Large","Fair","Good","Poor","Poor","Least Disturbed",0,0.152735131919423,0.439377222862573,0.322222222222222,0.448210922787194
"NLA_CT-10041","Region_01",41.84052,-72.10979,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.0609233691747471,0.127038557290858,0.115248226950354,0.199376947040498
"NLA_NC-10059","Region_04",35.85621,-78.03021,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Assessed","Poor","Poor","Poor","Poor","Least Disturbed",0,0.536261315980389,0.529872904193083,0.294243070362473,0.651736745886654
"NLA_KY-10050","Region_04",37.40584,-87.78581,"Good","Good","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.199130434782608,0.506086956521739,0.506086956521739,0.506086956521739
"NLA_MI-10191","Region_05",44.72733,-85.11923,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Poor","Not Assessed","Good","Good","Fair","Fair","Least Disturbed",0,0.070317190804442,0.37876741614206,0.3589001447178,0.396341463414634
"NLA_TX-10136","Region_06",32.82988,-94.0436,"Poor","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.123230952899692,0.408277002592061,0.404674945215485,0.414806110458284
"NLA_UT-10057","Region_08",40.87398,-109.1379,"Good","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Poor","Not Large","Good","Good","Fair","Fair","Least Disturbed",0,0.05718954248366,0.153846153846153,0.153846153846153,0.153846153846153
"NLA_NE-10127","Region_07",42.10978,-98.56234,"Good","Good","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Fair","Good","Not Large","Good","Good","Good","Fair","Least Disturbed",0,0.041925465838509,0.198757763975155,0.198757763975155,0.198757763975155
"NLA_NE-10214","Region_07",42.553,-100.68223,"Good","Good","Good","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Fair","Not Large","Fair","Good","Poor","Good","Least Disturbed",0,0.075700934579439,0.325757575757575,0.325757575757575,0.325757575757575
"NLA_OK-10053","Region_06",35.17875,-99.07525,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.187088274044795,0.304231027535258,0.304231027535258,0.304231027535258
"NLA_TX-10001","Region_06",30.751822,-98.408858,"Good","Good","Good","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Fair","Fair","Good","Fair","Least Disturbed",NA,NA,NA,NA,NA
"NLA_KY-10041","Region_04",36.8752,-88.48954,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Poor","Not Large","Poor","Poor","Fair","Fair","Moderately Disturbed",0,0.00399291738541631,0.214325767287779,0.195558739255014,0.218850871530019
"NLA_KS-10012","Region_07",37.65556,-98.26099,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Not Large","Good","Good","Fair","Fair","Least Disturbed",0,0.118741058655221,0.175965665236051,0.175965665236051,0.175965665236051
"NLA_MD-10020","Region_03",39.12696,-77.13091,"Poor","Poor","Poor","Eutrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Poor","Not Large","Poor","Fair","Poor","Poor","Moderately Disturbed",0,0.268740658386273,0.0642190904862087,0.032456140350877,0.154559505409582
"NLA_NC-10024","Region_04",34.9329,-77.10483,"Fair","Good","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Poor","Poor","Not Large","Good","Fair","Good","Good","Least Disturbed",NA,NA,NA,NA,NA
"NLA_ND-10149","Region_08",48.35212,-101.8953,"Poor","Poor","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Fair","Poor","Not Large","Poor","Fair","Poor","Poor","Moderately Disturbed",0,0.118055555555555,0.140625,0.140625,0.140625
"NLA_TX-10174","Region_06",33.51618,-94.12513,"Poor","Fair","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Not Assessed","Poor","Not Large","Fair","Good","Poor","Fair","Moderately Disturbed",0,0.141653501843075,0.080832016850974,0.080832016850974,0.080832016850974
"NLA_NV-10036","Region_09",40.69659,-118.2878,"Poor","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Good","Not Large","Poor","Good","Poor","Good","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_NV-10218","Region_09",41.91589,-119.4603,"Fair","Poor","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Poor","Not Large","Good","Good","Good","Fair","Least Disturbed",0,0.102493074792243,0.432132963988919,0.432132963988919,0.432132963988919
"NLA_DE-10020","Region_03",38.86695,-75.38016,"Good","Poor","Good","Oligotrophic","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Assessed","Fair","Good","Good","Fair","Moderately Disturbed",0,0.492782729029383,0.271102655441782,0.190326481257557,0.39422543031649
"NLA_TX-10097","Region_06",33.06712,-95.73801,"Poor","Poor","Poor","Hypereutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Poor","Poor","Not Large","Fair","Good","Good","Fair","Least Disturbed",0,0.196581196581196,0.216143497757847,0.216143497757847,0.216143497757847
"NLA_KS-10076","Region_07",37.65573,-97.39951,"Fair","Fair","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Poor","Moderately Disturbed",0,0.130154957665404,0.398332555040408,0.266342141863699,0.866666666666666
