"UNIQUE_ID","EPA_REG","LAT_DD83","LON_DD83","PTL_COND","NTL_COND","CHLA_COND","TROPHIC_STATE","ATZ_EPA_COND_3.4","ATZ_DETECT","CYLSPER_EPA_COND","CYLSPER_DETECT","MICX_EPA_COND","MICX_DETECT","ECOLI_EPA_COND","ECOLI_DETECT","BENT_MMI_COND_2017","ZOOP_MMI_COND_2017","DRAWDOWN_COND_2CAT_2017","LITRIPCVR_COND","LITCVR_COND","RVEG_COND","RDIS_COND","NLA_SCI_STATUS","distToNearestBlock","low_minor_buf","low_inc_buf","min_inc","max_inc"
"NLA_MN-10074","Region_05",47.06912,-92.00226,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","Good","Poor","Not Assessed","Good","Good","Good","Fair","Moderately Disturbed",0,0.067476383265857,0.237474262182566,0.237474262182566,0.237474262182566
"NLA_MN-10181","Region_05",46.84557,-93.99548,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Good","Good","Not Large","Good","Good","Good","Fair","Moderately Disturbed",0,0.007604562737643,0.276391554702495,0.276391554702495,0.276391554702495
"NLA_AR-10006","Region_06",34.2145297,-94.2146709,"Fair","Fair","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Poor","Not Large","Fair","Fair","Poor","Fair","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_SD-10005","Region_08",44.6471,-100.7009,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Not Assessed","Fair","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Not Assessed","Moderately Disturbed",NA,NA,NA,NA,NA
"NLA_ND-10138","Region_08",48.87739,-99.9807,"Poor","Poor","Good","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","At or Below Benchmark","Detected","Good","Good","Large","Good","Good","Good","Poor","Least Disturbed",0,0.76997915218902,0.57123002084781,0.57123002084781,0.57123002084781
"NLA_CO-10003","Region_08",37.82464,-107.8851,"Good","Good","Fair","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Large","Fair","Fair","Fair","Fair","Moderately Disturbed",0,0.026515151515152,0.18560606060606,0.18560606060606,0.18560606060606
"NLA_CO-10001","Region_08",37.41533,-108.4074,"Fair","Poor","Poor","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Fair","Poor","Large","Good","Good","Fair","Fair","Moderately Disturbed",0,0.112070206634219,0.264473474097966,0.264458464773922,0.274074074074074
"NLA_CO-10027","Region_08",39.99496,-105.1122,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Poor","Not Large","Good","Good","Good","Fair","Least Disturbed",0,0.118460481380606,0.0956665502555018,0.074040495618011,0.378250591016548
"NLA_MI-10010","Region_05",46.15177,-88.83002,"Good","Good","Good","Mesotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","Good","Good","Not Large","Fair","Good","Fair","Fair","Moderately Disturbed",0,0.0452350678060353,0.285282772267504,0.284889316650625,0.324731182795698
"NLA_MI-10154","Region_05",46.14496,-86.48319,"Good","Good","Good","Oligotrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Fair","Not Large","Good","Good","Good","Good","Least Disturbed",0,0.108913175671331,0.239487298486049,0.225208526413345,0.303271441202475
"NLA_IN-10232","Region_05",38.12682,-86.24282,"Poor","Poor","Fair","Eutrophic","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Not Detected","At or Below Benchmark","Detected","Fair","Poor","Not Large","Poor","Poor","Poor","Poor","Moderately Disturbed",0,0.025730484081989,0.221458046767537,0.221458046767537,0.221458046767537
