UNIQUE_ID,ACSTOTPOP,ACSIPOVBAS,MINORPCT,LOWINCOME,LOWINCPCT,LESSHS,LESSHSPCT,LINGISO,LINGISOPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,PRE1960,PRE1960PCT,VULEOPCT,VULEO,DISPEO,DSLPM,CANCER,RESP,PTRAF,PWDIS,PNPL,PRMP,PTSDF,OZONE,PM25,D_LDPNT_2,D_DSLPM_2,D_CANCR_2,D_RESP_2,D_PTRAF_2,D_PWDIS_2,D_PNPL_2,D_PRMP_2,D_PTSDF_2,D_OZONE_2,D_PM25_2,P_MINORPCT,P_LWINCPCT,P_LESHSPCT,P_LNGISPCT,P_UNDR5PCT,P_OVR64PCT,P_LDPNT,P_VULEOPCT,P_DSLPM,P_CANCR,P_RESP,P_PTRAF,P_PWDIS,P_PNPL,P_PRMP,P_PTSDF,P_OZONE,P_PM25,P_LDPNT_D2,P_DSLPM_D2,P_CANCR_D2,P_RESP_D2,P_PTRAF_D2,P_PWDIS_D2,P_PNPL_D2,P_PRMP_D2,P_PTSDF_D2,P_OZONE_D2,P_PM25_D2
NLA_LA-10032,2010.167367,0,0.198288302,0,0.40065605,0,0.163482421,0,0.001233936,0,0.07139597,0,0.097103447,0,0.038833117,0.299472176,0,0,0.23209873,38.57158014,0.632441631,295.8094231,NA,0.068949145,0.208048558,0.188636088,34.07652427,8.415957044,7.44485454,-15.02549888,-4941.093351,-80.72508756,-47979.77039,NA,-10.36928295,-22.53697168,-33.71534277,-4244.159085,-1049.886809,28.77221833,54.24951151,58.69858342,62.65112584,59.61997618,26.99892727,20.24528254,38.96067093,23.41841448,29.76290033,73.40145669,69.16479989,NA,61.25241185,39.10011729,26.58339659,5.232083009,10.96703276,56.64525102,40.84961978,36.095058,33.61682972,24.24990523,NA,30.39410735,36.41659514,37.9729943,35.70628385,35.70628385
NLA_KS-10044,1769,0,0.042962125,0,0.198417185,0,0.089182494,0,0,0,0.064443188,0,0.177501413,0,0.414473684,0.120689655,0,0,0.133337068,24.21622769,0.319644748,8.82790936,NA,0.046479858,0.731474228,0.055909459,44.77953399,7.922981644,-171.2115316,-55.07911475,-10003.28269,-132.039425,-3646.648605,NA,-19.19998309,-302.1586838,-23.09517939,-18497.61008,-3272.839444,9,34,62,58,53,66,62,19,11,20,20,17,NA,49,54,17,38,54,3,39,22,24,53,NA,24,14,50,19,19
NLA_NE-10069,815,0,0.014723926,0,0.244471744,0,0.045454545,0,0,0,0.057668712,0,0.239263804,0,0.606973059,0.129597835,0,0,0.097605407,14.74631355,0.173616088,26.13073347,0.009387778,0.018021415,0.05543379,0.020963412,45.60809673,5.362707836,-111.1074388,-17.86683379,-2699.337486,-31.78071673,-4783.274691,-1.718448595,-3.298850277,-10.14724837,-3.837387889,-8348.638782,-981.652685,4,46,40,57,41,84,78,28,6,1,2,22,82,21,1,7,95,2,13,66,57,60,56,14,58,76,70,45,58
NLA_MT-10084,720,0,0.061111111,0,0.445833333,0,0.046568627,0,0.017094017,0,0.072222222,0,0.147222222,0,0.462686567,0.253472222,0,0,0.033886892,13.72448478,0.183561131,0.431344414,NA,0.01274862,0.131799962,0.014547779,43.24170588,7.246631205,-33.55625544,-2.457640375,-995.3656529,-13.31273616,-31.28317175,NA,-0.924591232,-9.558767208,-1.055074941,-3136.09651,-525.5605524,36,76,40,91,68,41,77,68,24,15,24,9,NA,16,42,5,21,35,43,78,77,76,77,NA,76,66,83,76,76
NLA_IA-10039,1459.029454,0,0.282584057,0,0.461225454,0,0.193014614,0,0,0,0.096714307,0,0.133442286,0,0.696950488,0.371904756,0,0,0.341466082,24.39146858,0.314980937,215.0985878,0.265378727,0.024228904,1.711574338,2.730610674,43.99594924,8.472380351,96.01071863,21.87246552,1504.973226,19.82471891,22288.09312,-44.6612692,1.555194206,304.9989236,480.3187409,2453.644709,475.3709558,79.60114142,75.1651187,90.75985424,66,60.74528189,37.67479056,76.73098187,78.44419245,76.63362893,79.08285854,77.00105572,68.2992723,92.03586106,44.15320882,68.72981642,86.40482926,95.535703,92.61750582,73.28431746,68.80529457,73.11966262,72.73716844,66.93383445,56.60039218,76.25569261,76.1754058,65.82865671,74.73121038,73.58372784
NLA_AZ-10038,2534.951214,0,0.842406377,0,0.355322686,0,0.181104422,0,0.01027639,0,0.081742491,0,0.052115822,0,0.00731103,0.598864532,0,0,0.72307811,43.72130025,0.632806056,416.5202653,0.148364229,0.05541164,1.226415791,2.951269349,54.05009804,9.020436164,4.193935909,443.1017726,26792.38297,387.7831196,253720.0515,90.3367366,33.9950725,814.6176975,1880.671603,33121.86321,5527.717129,86.57601426,54.68002037,68.72804278,44.21597352,68.78402648,14.84797148,44.0559837,76.57601426,67,68,73,71.15998981,84,46.36800204,69.72008149,73.67205908,50,96,67.42398574,85.10400611,85.10400611,85.10400611,86.36800204,93,79.73600407,84.8880326,87.68002037,83.47200815,86.10400611
NLA_ID-10041,465,0,0.094623656,0,0.283870968,0,0,0,0,0,0.010752688,0,0.268817204,0,0.253485425,0.189247312,0,0,0.01067925,11.29813934,0.149182072,NA,5.23E-05,0.011149592,0.007560752,0.182437606,49.50958497,6.654274247,-19.44322515,-0.819136124,-866.6070934,-11.44279052,NA,-0.004015248,-0.855213015,-0.579936351,-13.99360713,-3797.5596,-510.4062792,31,36,3,56,4,93,71,31,0,0,1,NA,53,28,0,46,71,5,41,77,72,72,NA,38,69,77,57,68,70
NLA_SD-10077,647.6478756,0,0.013509441,0,0.197610046,0,0.096926941,0,0,0,0.047066927,0,0.235996765,0,0.522229748,0.105559744,0,0,0.053108864,13.76829177,0.147599163,4.750711537,NA,0.003423908,0.768543876,0.008496042,40.80113856,5.544890329,-83.88396251,-8.505157787,-2204.933142,-23.63737583,-795.8672349,NA,-0.547950277,-121.3359404,-1.360369204,-6534.128138,-887.990512,6.585784317,31.4852941,67.51879084,66,27.75735295,82.96650326,78.65686273,17.20915031,14,2,2,16.93300652,NA,0.861928106,68.16339877,9,29,19,25.20506537,69.72385621,61.44771242,65.44771242,68.48120916,NA,71.72385621,33.79901956,75,56.30964053,56.72385621
NLA_AR-10022,1418,0,0.031029619,0,0.46403385,0,0.273684211,0,0,0,0.028208745,0,0.230606488,0,0.047169811,0.247531735,0,0,0.135112637,34.37434355,0.481917904,2.743936614,1.19E-06,0.009812133,0.02477253,0.057573891,37.67075033,8.614058082,-7.134773375,-20.43675862,-5199.366804,-72.89355066,-415.0401569,-0.000180632,-1.484155686,-3.747023486,-8.708465269,-5697.972049,-1302.938268,10,64,91,67,17,82,31,38,13,40,37,17,29,6,2,10,4,13,43,46,40,40,48,43,50,56,52,41,40
NLA_WA-10037,1428,0,0.152661064,0,0.287825475,0,0.079646018,0,0,0,0.077030812,0,0.231092437,0,0.381153305,0.22024327,0,0,0.036903697,24.95035789,0.498468866,0.553888424,4.02E-09,0.015794273,0.172290536,0.054908328,42.07710588,9.140749589,-72.91150855,-7.059375197,-4772.799312,-95.35301545,-105.9543233,-7.69E-07,-3.021315183,-32.95776983,-10.50351393,-8049.006065,-1748.550603,25,60,58,43,69,85,77,40,1,14,47,5,58,4,39,5,80,80,14,68,50,41,68,27,64,43,66,37,36
NLA_AZ-10039,1273.873334,0,0.708618629,0,0.587816156,0,0.346095032,0,0.062115677,0,0.02164619,0,0.215466508,0,0.147560766,0.648217392,0,0,0.073868649,20.96041601,0.256867008,26.3061522,2.476777472,0.015749701,0.015749701,0.025440707,48.74772583,6.151596755,56.5217646,27.54319601,7784.181236,95.39153076,9687.805038,913.8155356,5.848907384,5.848907384,9.44694148,18106.02075,2284.469869,78.06539896,81,89.0529145,74.46730052,16.76634974,75.70095078,78.5576684,80.53269948,7.311533681,5.92211658,4.92211658,16.06539896,93.6105829,10,3,4,4,11.84423316,82.1682513,59.23365026,66.07788342,64.07788342,60.45481606,95.92211658,62.07788342,55,55,73.07788342,71.07788342
NLA_TX-10065,662,0,0.50755287,0,0.262839879,0,0.096982759,0,0.044843049,0,0.067975831,0,0.20694864,0,0.179487179,0.385196375,0,0,0.075526323,28.40029374,0.347557078,0.274315428,0.003204157,0.009948907,0.223109418,0.041998048,35.23674641,8.798952877,3.68287143,1.549713682,582.7415123,7.131473318,5.628638528,0.065745643,0.204140182,4.577949822,0.861751853,723.017694,180.5444392,43,40,41,51,49,87,73,41,1,15,16,3,66,5,32,6,10,16,55,38,39,39,38,64,38,39,38,38,39
NLA_AZ-10040,969,0,0.995872033,0,0.700722394,0,0.303738318,0,0.16967509,0,0.069143447,0,0.188854489,0,0.048022599,0.848297214,0,0,0.039469712,20.28318561,0.259448721,NA,0.04562305,0.006949649,0.033425781,0.018610699,50.50357124,4.826572055,22.99221713,18.89727342,9711.165546,124.2186277,NA,21.84336302,3.327346901,16.00356545,8.91041367,24180.05487,2310.861871,98,91,85,92,57,72,67,96,2,5,5,NA,79,5,8,3,10,1,78,57,69,68,NA,90,58,61,54,77,71
